1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
-136.1523895,-8.518005371,22.00940323,260.5137939,90.6543045,262.8559875,-3.656314373,-114.7964401,-52.04927444,-167.2689514,-78.77722168,-41.82688522,-45.4406662,-104.7386398,-114.0116425,-54.71980667,-59.9244194,-172.064743,116.7743683,-105.5285187
-55.77323532,44.3575325,-28.09682846,127.7090454,54.06868744,144.0821533,-8.617001534,-148.7991028,-93.40122223,-134.828125,-93.30674744,-41.16855621,-61.41132736,-154.4455719,-83.23003387,-84.63221741,-69.23651886,-194.6224213,22.81146431,72.97782135
-35.01420212,-35.40092087,-6.683297157,41.87309647,27.73123741,137.0763397,-48.83837891,-66.74327087,-87.44582367,-137.9620514,-63.10837555,-60.05825043,-54.0955925,-157.7404175,5.111962318,-159.4727478,-117.6631088,-109.8288727,0.872482896,115.7848053
-31.34220505,-67.96583557,-37.33359909,4.979937077,66.67993164,86.72615814,7.413132191,-2.033758402,-63.44392014,-142.3462067,-19.30285454,22.34369469,-24.92509079,-127.2320557,-27.54659081,-153.7128143,-122.4794769,-152.6608734,48.96720505,36.1112442
-42.75825119,-51.40039063,-30.52694893,15.08280563,-54.3823204,-21.51505089,-3.738593578,1.234857082,-78.39642334,-142.5991974,-24.96303749,-49.11866379,-38.27891541,-146.7677307,-52.58874512,-193.5396271,-90.79193878,-144.2547607,270.1871338,-5.888138294
-49.74572372,-14.28281784,170.4612579,24.24893379,-137.8124695,-106.6841278,8.669841766,-96.40245819,-28.52690315,-133.1314392,-31.17686653,-134.7738647,63.95055008,-172.3215942,-131.0324707,-197.0601044,-96.42232513,-146.3628387,299.9821167,-11.80293751
-8.332411766,10.18892479,55.62900925,-25.24278259,-135.2335358,-166.485733,-7.421507835,-94.92966461,25.66024017,-144.3318787,-15.95969582,-99.6422348,54.75350189,-138.250885,-132.3143311,-178.3907318,-158.671402,-118.1775665,101.3986435,46.25212479
-47.06946564,-14.09583378,85.01117706,42.61225891,-134.8034058,-154.7248535,208.4332886,-100.1786041,102.7124558,-152.5871582,-53.10413742,43.57288361,-18.77716827,-58.07654572,-116.200264,-162.2598114,-132.7631226,-107.7945175,56.36350632,78.5759964
2.510346413,-32.58537674,112.0334702,27.55054665,-27.07887459,-180.3915253,472.8102722,-129.083725,86.88348389,-28.06879234,-41.95763397,47.20952225,-78.2765274,-52.98850632,-124.6724548,-84.64141083,-102.1190643,-53.55549622,61.40100479,-32.85085297
-13.45162582,-0.232744545,178.7131805,-13.07320881,59.62394333,-187.881134,323.6875916,-109.0003662,17.71719742,-1.36291492,-75.26644135,-2.636073351,-9.657681465,-31.70732689,-74.96734619,-166.8847198,75.31987762,-50.47817993,196.5234833,89.09586334
-33.55236816,162.7106476,356.7404785,41.47379684,-17.0963192,-187.1094971,219.7203064,-50.20957565,-6.243467331,-12.93379879,-30.63373566,20.91980743,169.4792938,-37.5411377,-29.29855919,60.75947189,69.93172455,-14.58354187,224.0812836,88.2470932
1.201169968,8.15323925,354.6678162,5.357745647,-40.93613815,-169.9019928,103.2680054,-47.7537117,-149.3812256,42.70007706,-72.19293976,61.69037628,244.6289825,82.01000977,-70.6164856,12.28357697,-97.87142944,-18.49458313,318.1659851,-25.20199966
-33.97818756,-83.57743835,146.379776,35.32886887,-35.45198822,-114.4456711,112.7127914,-63.19210434,-138.4325562,147.0703125,171.5207977,30.6785202,197.8621216,216.6797943,3.656162739,-28.58901215,-21.84960938,5.185233116,219.9829254,-105.7188568
-110.3318558,58.88823318,31.31739998,74.39438629,-50.50019836,-168.9706421,401.0565491,-41.83285522,-73.82279205,24.12133598,-49.28428268,-42.05475616,105.1792374,266.8368225,45.3611908,-24.16148567,-30.74891853,-23.38842011,179.622818,-156.5263824
-11.42701912,432.8955994,60.22008133,104.626564,104.7655487,-186.4052429,319.7575684,-0.499797851,-2.532156229,-28.52641678,-35.37444305,-81.61882782,94.80072021,133.8143005,-81.3897934,-85.30776215,-7.324166775,-13.69284153,148.7427063,-170.4199829
